Notes,County,County Code,Gender,Gender Code,Year,Year Code,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"Butte County, CA",6007,Male,M,2012,2012,White,2106-3,1133,97603,1160.8,988.5,0
,"Butte County, CA",6007,Male,M,2013,2013,American Indian or Alaska Native,1002-5,20,3249,615.6,797.8,0
,"Butte County, CA",6007,Male,M,2013,2013,Asian or Pacific Islander,A-PI,19,5804,327.4 (Unreliable),617.0 (Unreliable),0
,"Butte County, CA",6007,Male,M,2013,2013,Black or African American,2054-5,15,3025,495.9 (Unreliable),1035.8 (Unreliable),0
,"Butte County, CA",6007,Male,M,2013,2013,White,2106-3,1129,97832,1154.0,954.0,0
,"Butte County, CA",6007,Male,M,2014,2014,American Indian or Alaska Native,1002-5,23,3292,698.7,938.1,0
,"Butte County, CA",6007,Male,M,2014,2014,Asian or Pacific Islander,A-PI,16,5954,268.7 (Unreliable),404.9 (Unreliable),0
,"Butte County, CA",6007,Male,M,2014,2014,Black or African American,2054-5,20,3074,650.6,989.4,0
,"Butte County, CA",6007,Male,M,2014,2014,White,2106-3,1036,98441,1052.4,876.4,0
,"Butte County, CA",6007,Male,M,2015,2015,American Indian or Alaska Native,1002-5,19,3261,582.6 (Unreliable),815.7 (Unreliable),0
,"Butte County, CA",6007,Male,M,2015,2015,Asian or Pacific Islander,A-PI,18,6178,291.4 (Unreliable),592.5 (Unreliable),0
,"Butte County, CA",6007,Male,M,2015,2015,Black or African American,2054-5,13,3182,408.5 (Unreliable),626.5 (Unreliable),0
,"Butte County, CA",6007,Male,M,2015,2015,White,2106-3,1172,98786,1186.4,972.9,0
,"Butte County, CA",6007,Male,M,2016,2016,American Indian or Alaska Native,1002-5,22,3260,674.8,1065.6,0
,"Butte County, CA",6007,Male,M,2016,2016,Asian or Pacific Islander,A-PI,20,6363,314.3,463.9,0
,"Butte County, CA",6007,Male,M,2016,2016,Black or African American,2054-5,18,3309,544.0 (Unreliable),947.4 (Unreliable),0
,"Butte County, CA",6007,Male,M,2016,2016,White,2106-3,1190,99305,1198.3,968.7,0
,"Calaveras County, CA",6009,Female,F,2006,2006,White,2106-3,215,21878,982.7,664.7,0
,"Calaveras County, CA",6009,Female,F,2007,2007,White,2106-3,190,22061,861.2,569.4,0
,"Calaveras County, CA",6009,Female,F,2008,2008,White,2106-3,197,21963,897.0,562.6,0
,"Calaveras County, CA",6009,Female,F,2009,2009,White,2106-3,214,21688,986.7,657.3,0
,"Calaveras County, CA",6009,Female,F,2010,2010,White,2106-3,209,21577,968.6,623.9,0
,"Calaveras County, CA",6009,Female,F,2011,2011,White,2106-3,197,21305,924.7,580.4,0
,"Calaveras County, CA",6009,Female,F,2012,2012,White,2106-3,195,21108,923.8,547.5,0
,"Calaveras County, CA",6009,Female,F,2013,2013,White,2106-3,221,21050,1049.9,622.2,0
,"Calaveras County, CA",6009,Female,F,2014,2014,White,2106-3,207,20993,986.0,573.3,0
,"Calaveras County, CA",6009,Female,F,2015,2015,White,2106-3,194,21078,920.4,536.3,0
,"Calaveras County, CA",6009,Female,F,2016,2016,White,2106-3,223,21180,1052.9,578.7,0
,"Calaveras County, CA",6009,Male,M,2006,2006,White,2106-3,226,21850,1034.3,841.6,0
,"Calaveras County, CA",6009,Male,M,2007,2007,White,2106-3,207,21901,945.2,753.0,0
,"Calaveras County, CA",6009,Male,M,2008,2008,White,2106-3,252,21933,1149.0,920.9,0
,"Calaveras County, CA",6009,Male,M,2009,2009,White,2106-3,267,21765,1226.7,929.2,0
,"Calaveras County, CA",6009,Male,M,2010,2010,White,2106-3,213,21579,987.1,719.8,0
,"Calaveras County, CA",6009,Male,M,2011,2011,White,2106-3,249,21282,1170.0,809.9,0
,"Calaveras County, CA",6009,Male,M,2012,2012,White,2106-3,241,21082,1143.2,807.6,0
,"Calaveras County, CA",6009,Male,M,2013,2013,White,2106-3,270,20981,1286.9,876.1,0
,"Calaveras County, CA",6009,Male,M,2014,2014,White,2106-3,257,20992,1224.3,794.6,0
,"Calaveras County, CA",6009,Male,M,2015,2015,White,2106-3,259,21078,1228.8,803.2,0
,"Calaveras County, CA",6009,Male,M,2016,2016,White,2106-3,291,21235,1370.4,866.3,0
,"Colusa County, CA",6011,Female,F,2006,2006,White,2106-3,51,9534,534.9,486.7,0
,"Colusa County, CA",6011,Female,F,2007,2007,White,2106-3,53,9613,551.3,501.8,0
,"Colusa County, CA",6011,Female,F,2008,2008,White,2106-3,73,9591,761.1,668.8,0
,"Colusa County, CA",6011,Female,F,2009,2009,White,2106-3,62,9618,644.6,566.5,0
,"Colusa County, CA",6011,Female,F,2010,2010,White,2106-3,76,9691,784.2,693.6,0
,"Colusa County, CA",6011,Female,F,2011,2011,White,2106-3,73,9638,757.4,654.9,0
,"Colusa County, CA",6011,Female,F,2012,2012,White,2106-3,58,9591,604.7,517.4,0
,"Colusa County, CA",6011,Female,F,2013,2013,White,2106-3,54,9596,562.7,488.6,0
,"Colusa County, CA",6011,Female,F,2014,2014,White,2106-3,39,9583,407.0,337.0,0
,"Colusa County, CA",6011,Female,F,2015,2015,White,2106-3,81,9615,842.4,711.9,0
,"Colusa County, CA",6011,Female,F,2016,2016,White,2106-3,81,9722,833.2,663.7,0
,"Colusa County, CA",6011,Male,M,2006,2006,White,2106-3,76,10015,758.9,863.3,0
,"Colusa County, CA",6011,Male,M,2007,2007,White,2106-3,75,10141,739.6,833.8,0
,"Colusa County, CA",6011,Male,M,2008,2008,White,2106-3,54,10166,531.2,582.6,0
,"Colusa County, CA",6011,Male,M,2009,2009,White,2106-3,58,10212,568.0,633.8,0
,"Colusa County, CA",6011,Male,M,2010,2010,White,2106-3,69,10274,671.6,808.1,0
,"Colusa County, CA",6011,Male,M,2011,2011,White,2106-3,82,10222,802.2,959.1,0
,"Colusa County, CA",6011,Male,M,2012,2012,White,2106-3,68,10194,667.1,751.9,0
,"Colusa County, CA",6011,Male,M,2013,2013,White,2106-3,81,10169,796.5,851.5,0
,"Colusa County, CA",6011,Male,M,2014,2014,White,2106-3,67,10106,663.0,693.7,0
,"Colusa County, CA",6011,Male,M,2015,2015,White,2106-3,76,10102,752.3,800.4,0
,"Colusa County, CA",6011,Male,M,2016,2016,White,2106-3,69,10238,674.0,681.4,0
,"Contra Costa County, CA",6013,Female,F,2006,2006,American Indian or Alaska Native,1002-5,12,5385,222.8 (Unreliable),395.2 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2006,2006,Asian or Pacific Islander,A-PI,245,80773,303.3,378.5,0
,"Contra Costa County, CA",6013,Female,F,2006,2006,Black or African American,2054-5,393,55761,704.8,860.7,0
,"Contra Costa County, CA",6013,Female,F,2006,2006,White,2106-3,2932,370516,791.3,600.7,0.001
,"Contra Costa County, CA",6013,Female,F,2007,2007,American Indian or Alaska Native,1002-5,11,5650,194.7 (Unreliable),332.4 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2007,2007,Asian or Pacific Islander,A-PI,271,83448,324.8,403.0,0
,"Contra Costa County, CA",6013,Female,F,2007,2007,Black or African American,2054-5,410,56540,725.2,892.1,0
,"Contra Costa County, CA",6013,Female,F,2007,2007,White,2106-3,2907,371206,783.1,582.0,0.001
,"Contra Costa County, CA",6013,Female,F,2008,2008,Asian or Pacific Islander,A-PI,266,86880,306.2,365.9,0
,"Contra Costa County, CA",6013,Female,F,2008,2008,Black or African American,2054-5,390,57722,675.7,822.8,0
,"Contra Costa County, CA",6013,Female,F,2008,2008,White,2106-3,2877,373607,770.1,565.0,0.001
,"Contra Costa County, CA",6013,Female,F,2009,2009,Asian or Pacific Islander,A-PI,292,90276,323.5,381.7,0
,"Contra Costa County, CA",6013,Female,F,2009,2009,Black or African American,2054-5,365,59000,618.6,736.6,0
,"Contra Costa County, CA",6013,Female,F,2009,2009,White,2106-3,2863,376140,761.2,551.0,0.001
,"Contra Costa County, CA",6013,Female,F,2010,2010,American Indian or Alaska Native,1002-5,11,6589,166.9 (Unreliable),267.8 (Unreliable),0
