,Year,ICD-10 113 Cause List,ICD-10 113 Cause List Code,County,County Code,Race,Race Code,Gender,Gender Code,Deaths,Population,Crude Rate
21,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,Black or African American,2054-5,Female,F,130.0,523263.0,24.8
22,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,Black or African American,2054-5,Male,M,120.0,462314.0,26
23,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,White,2106-3,Female,F,934.0,3596452.0,26
24,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,White,2106-3,Male,M,809.0,3599903.0,22.5
37,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,25.0,271729.0,9.2
38,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,32.0,251976.0,12.7
39,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,White,2106-3,Female,F,291.0,1160873.0,25.1
40,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,White,2106-3,Male,M,243.0,1150444.0,21.1
43,2006,Influenza and pneumonia (J09-J18),GR113-076,Riverside,6065.0,White,2106-3,Female,F,150.0,847672.0,17.7
44,2006,Influenza and pneumonia (J09-J18),GR113-076,Riverside,6065.0,White,2106-3,Male,M,132.0,850224.0,15.5
45,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,12.0,112879.0,Unreliable
46,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Black or African American,2054-5,Female,F,11.0,83794.0,Unreliable
47,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Black or African American,2054-5,Male,M,10.0,80061.0,Unreliable
48,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,White,2106-3,Female,F,158.0,489538.0,32.3
49,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,White,2106-3,Male,M,134.0,473849.0,28.3
50,2006,Influenza and pneumonia (J09-J18),GR113-076,San Bernardino,6071.0,Black or African American,2054-5,Female,F,11.0,104057.0,Unreliable
51,2006,Influenza and pneumonia (J09-J18),GR113-076,San Bernardino,6071.0,White,2106-3,Female,F,136.0,793322.0,17.1
52,2006,Influenza and pneumonia (J09-J18),GR113-076,San Bernardino,6071.0,White,2106-3,Male,M,136.0,798894.0,17
53,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,Asian or Pacific Islander,A-PI,Female,F,13.0,185921.0,Unreliable
54,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,Asian or Pacific Islander,A-PI,Male,M,17.0,166893.0,Unreliable
55,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,White,2106-3,Female,F,171.0,1174569.0,14.6
56,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,White,2106-3,Male,M,181.0,1195313.0,15.1
57,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Female,F,34.0,143899.0,23.6
58,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,42.0,127008.0,33.1
59,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,Black or African American,2054-5,Female,F,12.0,28589.0,Unreliable
60,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,White,2106-3,Female,F,90.0,204034.0,44.1
61,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,White,2106-3,Male,M,70.0,229277.0,30.5
70,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Barbara,6083.0,White,2106-3,Female,F,44.0,181527.0,24.2
71,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Barbara,6083.0,White,2106-3,Male,M,33.0,182809.0,18.1
72,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Female,F,20.0,277311.0,7.2
73,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Male,M,41.0,269919.0,15.2
74,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,White,2106-3,Female,F,147.0,525001.0,28
75,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,White,2106-3,Male,M,121.0,541122.0,22.4
76,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Cruz,6087.0,White,2106-3,Female,F,16.0,115162.0,Unreliable
77,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Cruz,6087.0,White,2106-3,Male,M,14.0,114741.0,Unreliable
80,2006,Influenza and pneumonia (J09-J18),GR113-076,Solano,6095.0,White,2106-3,Female,F,44.0,129413.0,34
81,2006,Influenza and pneumonia (J09-J18),GR113-076,Solano,6095.0,White,2106-3,Male,M,37.0,133551.0,27.7
91,2006,Influenza and pneumonia (J09-J18),GR113-076,Ventura,6111.0,White,2106-3,Female,F,62.0,352535.0,17.6
92,2006,Influenza and pneumonia (J09-J18),GR113-076,Ventura,6111.0,White,2106-3,Male,M,51.0,351571.0,14.5
95,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Asian or Pacific Islander,A-PI,Female,F,15.0,204139.0,Unreliable
96,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Asian or Pacific Islander,A-PI,Male,M,13.0,189589.0,Unreliable
97,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Black or African American,2054-5,Female,F,30.0,112599.0,26.6
98,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Black or African American,2054-5,Male,M,21.0,98714.0,21.3
99,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,White,2106-3,Female,F,73.0,410372.0,17.8
100,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,White,2106-3,Male,M,81.0,411279.0,19.7
103,2006,Pneumonia (J12-J18),GR113-078,Contra Costa,6013.0,Black or African American,2054-5,Female,F,11.0,55761.0,Unreliable
104,2006,Pneumonia (J12-J18),GR113-078,Contra Costa,6013.0,White,2106-3,Female,F,92.0,370516.0,24.8
105,2006,Pneumonia (J12-J18),GR113-078,Contra Costa,6013.0,White,2106-3,Male,M,77.0,361925.0,21.3
108,2006,Pneumonia (J12-J18),GR113-078,Fresno,6019.0,White,2106-3,Female,F,95.0,355993.0,26.7
109,2006,Pneumonia (J12-J18),GR113-078,Fresno,6019.0,White,2106-3,Male,M,68.0,356912.0,19.1
110,2006,Pneumonia (J12-J18),GR113-078,Humboldt,6023.0,White,2106-3,Female,F,15.0,58862.0,Unreliable
111,2006,Pneumonia (J12-J18),GR113-078,Humboldt,6023.0,White,2106-3,Male,M,12.0,58316.0,Unreliable
112,2006,Pneumonia (J12-J18),GR113-078,Kern,6029.0,White,2106-3,Female,F,67.0,326194.0,20.5
113,2006,Pneumonia (J12-J18),GR113-078,Kern,6029.0,White,2106-3,Male,M,72.0,346831.0,20.8
114,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Female,F,131.0,745149.0,17.6
115,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Male,M,150.0,669290.0,22.4
116,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Black or African American,2054-5,Female,F,130.0,523263.0,24.8
117,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Black or African American,2054-5,Male,M,119.0,462314.0,25.7
118,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,White,2106-3,Female,F,931.0,3596452.0,25.9
119,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,White,2106-3,Male,M,805.0,3599903.0,22.4
132,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,25.0,271729.0,9.2
133,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,32.0,251976.0,12.7
134,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,White,2106-3,Female,F,289.0,1160873.0,24.9
135,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,White,2106-3,Male,M,241.0,1150444.0,20.9
138,2006,Pneumonia (J12-J18),GR113-078,Riverside,6065.0,White,2106-3,Female,F,150.0,847672.0,17.7
139,2006,Pneumonia (J12-J18),GR113-078,Riverside,6065.0,White,2106-3,Male,M,129.0,850224.0,15.2
140,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,12.0,112879.0,Unreliable
141,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,Black or African American,2054-5,Female,F,10.0,83794.0,Unreliable
142,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,Black or African American,2054-5,Male,M,10.0,80061.0,Unreliable
143,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,White,2106-3,Female,F,157.0,489538.0,32.1
144,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,White,2106-3,Male,M,133.0,473849.0,28.1
145,2006,Pneumonia (J12-J18),GR113-078,San Bernardino,6071.0,Black or African American,2054-5,Female,F,11.0,104057.0,Unreliable
146,2006,Pneumonia (J12-J18),GR113-078,San Bernardino,6071.0,White,2106-3,Female,F,135.0,793322.0,17
147,2006,Pneumonia (J12-J18),GR113-078,San Bernardino,6071.0,White,2106-3,Male,M,136.0,798894.0,17
148,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,Asian or Pacific Islander,A-PI,Female,F,13.0,185921.0,Unreliable
149,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,Asian or Pacific Islander,A-PI,Male,M,17.0,166893.0,Unreliable
150,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,White,2106-3,Female,F,166.0,1174569.0,14.1
151,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,White,2106-3,Male,M,178.0,1195313.0,14.9
152,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Female,F,34.0,143899.0,23.6
153,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,42.0,127008.0,33.1
154,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,Black or African American,2054-5,Female,F,12.0,28589.0,Unreliable
155,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,White,2106-3,Female,F,89.0,204034.0,43.6
156,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,White,2106-3,Male,M,70.0,229277.0,30.5
165,2006,Pneumonia (J12-J18),GR113-078,Santa Barbara,6083.0,White,2106-3,Female,F,43.0,181527.0,23.7
166,2006,Pneumonia (J12-J18),GR113-078,Santa Barbara,6083.0,White,2106-3,Male,M,33.0,182809.0,18.1
167,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Female,F,20.0,277311.0,7.2
168,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Male,M,41.0,269919.0,15.2
169,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,White,2106-3,Female,F,146.0,525001.0,27.8
170,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,White,2106-3,Male,M,121.0,541122.0,22.4
171,2006,Pneumonia (J12-J18),GR113-078,Santa Cruz,6087.0,White,2106-3,Female,F,16.0,115162.0,Unreliable
172,2006,Pneumonia (J12-J18),GR113-078,Santa Cruz,6087.0,White,2106-3,Male,M,14.0,114741.0,Unreliable
175,2006,Pneumonia (J12-J18),GR113-078,Solano,6095.0,White,2106-3,Female,F,44.0,129413.0,34
176,2006,Pneumonia (J12-J18),GR113-078,Solano,6095.0,White,2106-3,Male,M,37.0,133551.0,27.7
186,2006,Pneumonia (J12-J18),GR113-078,Ventura,6111.0,White,2106-3,Female,F,62.0,352535.0,17.6
187,2006,Pneumonia (J12-J18),GR113-078,Ventura,6111.0,White,2106-3,Male,M,50.0,351571.0,14.2
190,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Asian or Pacific Islander,A-PI,Female,F,14.0,204139.0,Unreliable
191,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Asian or Pacific Islander,A-PI,Male,M,21.0,189589.0,11.1
192,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Black or African American,2054-5,Female,F,26.0,112599.0,23.1
193,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Black or African American,2054-5,Male,M,32.0,98714.0,32.4
194,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,White,2106-3,Female,F,197.0,410372.0,48
195,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,White,2106-3,Male,M,132.0,411279.0,32.1
202,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Asian or Pacific Islander,A-PI,Female,F,10.0,80773.0,Unreliable
203,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Asian or Pacific Islander,A-PI,Male,M,10.0,72524.0,Unreliable
204,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Black or African American,2054-5,Female,F,11.0,55761.0,Unreliable
205,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Black or African American,2054-5,Male,M,15.0,48581.0,Unreliable
206,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,White,2106-3,Female,F,195.0,370516.0,52.6
207,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,White,2106-3,Male,M,145.0,361925.0,40.1
211,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Fresno,6019.0,Asian or Pacific Islander,A-PI,Male,M,12.0,44769.0,Unreliable
212,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Fresno,6019.0,White,2106-3,Female,F,152.0,355993.0,42.7
213,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Fresno,6019.0,White,2106-3,Male,M,112.0,356912.0,31.4
215,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Humboldt,6023.0,White,2106-3,Female,F,38.0,58862.0,64.6
216,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Humboldt,6023.0,White,2106-3,Male,M,33.0,58316.0,56.6
217,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Imperial,6025.0,White,2106-3,Female,F,15.0,71140.0,Unreliable
218,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Imperial,6025.0,White,2106-3,Male,M,27.0,74137.0,36.4
219,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Kern,6029.0,White,2106-3,Female,F,190.0,326194.0,58.2
220,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Kern,6029.0,White,2106-3,Male,M,157.0,346831.0,45.3
225,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Female,F,81.0,745149.0,10.9
226,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Male,M,154.0,669290.0,23
227,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Black or African American,2054-5,Female,F,185.0,523263.0,35.4
228,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Black or African American,2054-5,Male,M,182.0,462314.0,39.4
229,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,White,2106-3,Female,F,1234.0,3596452.0,34.3
230,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,White,2106-3,Male,M,999.0,3599903.0,27.8
245,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,22.0,271729.0,8.1
246,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,31.0,251976.0,12.3
247,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,White,2106-3,Female,F,477.0,1160873.0,41.1
248,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,White,2106-3,Male,M,307.0,1150444.0,26.7
251,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,Black or African American,2054-5,Female,F,13.0,72553.0,Unreliable
252,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,Black or African American,2054-5,Male,M,17.0,73437.0,Unreliable
253,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,White,2106-3,Female,F,425.0,847672.0,50.1
254,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,White,2106-3,Male,M,411.0,850224.0,48.3
255,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,11.0,112879.0,Unreliable
256,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Male,M,18.0,105618.0,Unreliable
257,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Black or African American,2054-5,Female,F,16.0,83794.0,Unreliable
258,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Black or African American,2054-5,Male,M,18.0,80061.0,Unreliable
259,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,White,2106-3,Female,F,273.0,489538.0,55.8
260,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,White,2106-3,Male,M,259.0,473849.0,54.7
262,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,Asian or Pacific Islander,A-PI,Male,M,10.0,66574.0,Unreliable
263,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,Black or African American,2054-5,Female,F,19.0,104057.0,Unreliable
264,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,Black or African American,2054-5,Male,M,22.0,99402.0,22.1
265,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,White,2106-3,Female,F,418.0,793322.0,52.7
266,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,White,2106-3,Male,M,363.0,798894.0,45.4
267,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Asian or Pacific Islander,A-PI,Female,F,18.0,185921.0,Unreliable
268,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Asian or Pacific Islander,A-PI,Male,M,34.0,166893.0,20.4
269,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Black or African American,2054-5,Female,F,17.0,87594.0,Unreliable
270,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Black or African American,2054-5,Male,M,14.0,96095.0,Unreliable
271,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,White,2106-3,Female,F,539.0,1174569.0,45.9
272,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,White,2106-3,Male,M,418.0,1195313.0,35
273,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Female,F,25.0,143899.0,17.4
274,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,48.0,127008.0,37.8
275,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,Black or African American,2054-5,Male,M,16.0,28980.0,Unreliable
276,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,White,2106-3,Female,F,66.0,204034.0,32.3
277,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,White,2106-3,Male,M,83.0,229277.0,36.2
286,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Barbara,6083.0,White,2106-3,Female,F,60.0,181527.0,33.1
287,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Barbara,6083.0,White,2106-3,Male,M,57.0,182809.0,31.2
288,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Female,F,17.0,277311.0,Unreliable
289,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Male,M,31.0,269919.0,11.5
290,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,White,2106-3,Female,F,203.0,525001.0,38.7
291,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,White,2106-3,Male,M,139.0,541122.0,25.7
292,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Cruz,6087.0,White,2106-3,Female,F,60.0,115162.0,52.1
293,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Cruz,6087.0,White,2106-3,Male,M,41.0,114741.0,35.7
298,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Solano,6095.0,White,2106-3,Female,F,83.0,129413.0,64.1
299,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Solano,6095.0,White,2106-3,Male,M,60.0,133551.0,44.9
312,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Ventura,6111.0,White,2106-3,Female,F,149.0,352535.0,42.3
313,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Ventura,6111.0,White,2106-3,Male,M,111.0,351571.0,31.6
318,2006,"Bronchitis, chronic and unspecified (J40-J42)",GR113-083,Los Angeles,6037.0,White,2106-3,Female,F,18.0,3596452.0,Unreliable
319,2006,Emphysema (J43),GR113-084,Alameda,6001.0,White,2106-3,Female,F,28.0,410372.0,6.8
320,2006,Emphysema (J43),GR113-084,Alameda,6001.0,White,2106-3,Male,M,23.0,411279.0,5.6
321,2006,Emphysema (J43),GR113-084,Contra Costa,6013.0,White,2106-3,Female,F,20.0,370516.0,5.4
322,2006,Emphysema (J43),GR113-084,Contra Costa,6013.0,White,2106-3,Male,M,21.0,361925.0,5.8
323,2006,Emphysema (J43),GR113-084,Kern,6029.0,White,2106-3,Female,F,15.0,326194.0,Unreliable
324,2006,Emphysema (J43),GR113-084,Kern,6029.0,White,2106-3,Male,M,12.0,346831.0,Unreliable
325,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,Black or African American,2054-5,Female,F,13.0,523263.0,Unreliable
326,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,Black or African American,2054-5,Male,M,23.0,462314.0,5
327,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,White,2106-3,Female,F,145.0,3596452.0,4
328,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,White,2106-3,Male,M,98.0,3599903.0,2.7
331,2006,Emphysema (J43),GR113-084,Orange,6059.0,White,2106-3,Female,F,50.0,1160873.0,4.3
332,2006,Emphysema (J43),GR113-084,Orange,6059.0,White,2106-3,Male,M,34.0,1150444.0,3
333,2006,Emphysema (J43),GR113-084,Riverside,6065.0,White,2106-3,Female,F,24.0,847672.0,2.8
334,2006,Emphysema (J43),GR113-084,Riverside,6065.0,White,2106-3,Male,M,18.0,850224.0,Unreliable
335,2006,Emphysema (J43),GR113-084,Sacramento,6067.0,White,2106-3,Female,F,25.0,489538.0,5.1
336,2006,Emphysema (J43),GR113-084,Sacramento,6067.0,White,2106-3,Male,M,22.0,473849.0,4.6
337,2006,Emphysema (J43),GR113-084,San Bernardino,6071.0,White,2106-3,Female,F,33.0,793322.0,4.2
338,2006,Emphysema (J43),GR113-084,San Bernardino,6071.0,White,2106-3,Male,M,25.0,798894.0,3.1
339,2006,Emphysema (J43),GR113-084,San Diego,6073.0,White,2106-3,Female,F,37.0,1174569.0,3.2
340,2006,Emphysema (J43),GR113-084,San Diego,6073.0,White,2106-3,Male,M,34.0,1195313.0,2.8
341,2006,Emphysema (J43),GR113-084,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,10.0,127008.0,Unreliable
342,2006,Emphysema (J43),GR113-084,San Francisco,6075.0,White,2106-3,Female,F,13.0,204034.0,Unreliable
346,2006,Emphysema (J43),GR113-084,Santa Clara,6085.0,White,2106-3,Female,F,16.0,525001.0,Unreliable
347,2006,Emphysema (J43),GR113-084,Santa Clara,6085.0,White,2106-3,Male,M,21.0,541122.0,3.9
350,2006,Emphysema (J43),GR113-084,Ventura,6111.0,White,2106-3,Male,M,11.0,351571.0,Unreliable
351,2006,Asthma (J45-J46),GR113-085,Alameda,6001.0,White,2106-3,Female,F,12.0,410372.0,Unreliable
352,2006,Asthma (J45-J46),GR113-085,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Male,M,11.0,669290.0,Unreliable
