Notes,County,County Code,Gender,Gender Code,Year,Year Code,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"Alameda County, CA",6001,Female,F,2016,2016,Asian or Pacific Islander,A-PI,59,280406,21.0,20.0,0
,"Alameda County, CA",6001,Female,F,2016,2016,Black or African American,2054-5,71,109739,64.7,57.0,0
,"Alameda County, CA",6001,Female,F,2016,2016,White,2106-3,307,437366,70.2,52.9,0.001
,"Alameda County, CA",6001,Male,M,2006,2006,Asian or Pacific Islander,A-PI,42,189589,22.2,40.1,0
,"Alameda County, CA",6001,Male,M,2006,2006,Black or African American,2054-5,65,98714,65.8,94.1,0
,"Alameda County, CA",6001,Male,M,2006,2006,White,2106-3,278,411279,67.6,86.2,0.001
,"Alameda County, CA",6001,Male,M,2007,2007,Asian or Pacific Islander,A-PI,61,194546,31.4,52.4,0
,"Alameda County, CA",6001,Male,M,2007,2007,Black or African American,2054-5,60,98521,60.9,78.7,0
,"Alameda County, CA",6001,Male,M,2007,2007,White,2106-3,289,411723,70.2,89.0,0.001
,"Alameda County, CA",6001,Male,M,2008,2008,Asian or Pacific Islander,A-PI,71,200956,35.3,59.1,0
,"Alameda County, CA",6001,Male,M,2008,2008,Black or African American,2054-5,63,99138,63.5,84.1,0
,"Alameda County, CA",6001,Male,M,2008,2008,White,2106-3,267,414505,64.4,79.9,0.001
,"Alameda County, CA",6001,Male,M,2009,2009,Asian or Pacific Islander,A-PI,85,206944,41.1,66.3,0
,"Alameda County, CA",6001,Male,M,2009,2009,Black or African American,2054-5,56,100199,55.9,79.5,0
,"Alameda County, CA",6001,Male,M,2009,2009,White,2106-3,245,416940,58.8,71.0,0.001
,"Alameda County, CA",6001,Male,M,2010,2010,Asian or Pacific Islander,A-PI,67,211159,31.7,47.8,0
,"Alameda County, CA",6001,Male,M,2010,2010,Black or African American,2054-5,68,100934,67.4,88.6,0
,"Alameda County, CA",6001,Male,M,2010,2010,White,2106-3,251,417290,60.2,73.7,0.001
,"Alameda County, CA",6001,Male,M,2011,2011,Asian or Pacific Islander,A-PI,92,218194,42.2,61.6,0
,"Alameda County, CA",6001,Male,M,2011,2011,Black or African American,2054-5,69,100640,68.6,85.6,0
,"Alameda County, CA",6001,Male,M,2011,2011,White,2106-3,279,420463,66.4,77.6,0.001
,"Alameda County, CA",6001,Male,M,2012,2012,Asian or Pacific Islander,A-PI,77,225249,34.2,49.3,0
,"Alameda County, CA",6001,Male,M,2012,2012,Black or African American,2054-5,70,100571,69.6,91.5,0
,"Alameda County, CA",6001,Male,M,2012,2012,White,2106-3,268,424556,63.1,72.0,0.001
,"Alameda County, CA",6001,Male,M,2013,2013,Asian or Pacific Islander,A-PI,107,233540,45.8,62.2,0
,"Alameda County, CA",6001,Male,M,2013,2013,Black or African American,2054-5,82,100146,81.9,99.7,0
,"Alameda County, CA",6001,Male,M,2013,2013,White,2106-3,304,429388,70.8,79.1,0.001
,"Alameda County, CA",6001,Male,M,2014,2014,Asian or Pacific Islander,A-PI,81,242222,33.4,43.2,0
,"Alameda County, CA",6001,Male,M,2014,2014,Black or African American,2054-5,62,99985,62.0,70.3,0
,"Alameda County, CA",6001,Male,M,2014,2014,White,2106-3,307,434475,70.7,79.8,0.001
,"Alameda County, CA",6001,Male,M,2015,2015,Asian or Pacific Islander,A-PI,90,250633,35.9,47.0,0
,"Alameda County, CA",6001,Male,M,2015,2015,Black or African American,2054-5,67,99819,67.1,73.7,0
,"Alameda County, CA",6001,Male,M,2015,2015,White,2106-3,299,438407,68.2,76.4,0.001
,"Alameda County, CA",6001,Male,M,2016,2016,Asian or Pacific Islander,A-PI,101,258102,39.1,49.5,0
,"Alameda County, CA",6001,Male,M,2016,2016,Black or African American,2054-5,73,99256,73.5,85.1,0
,"Alameda County, CA",6001,Male,M,2016,2016,White,2106-3,257,439657,58.5,63.8,0.001
,"Amador County, CA",6005,Female,F,2006,2006,White,2106-3,19,16569,114.7 (Unreliable),64.1 (Unreliable),0
,"Amador County, CA",6005,Female,F,2007,2007,White,2106-3,21,16731,125.5,62.9,0
,"Amador County, CA",6005,Female,F,2008,2008,White,2106-3,35,16645,210.3,110.3,0
,"Amador County, CA",6005,Female,F,2009,2009,White,2106-3,30,16557,181.2,100.3,0
,"Amador County, CA",6005,Female,F,2010,2010,White,2106-3,30,16501,181.8,90.1,0
,"Amador County, CA",6005,Female,F,2011,2011,White,2106-3,33,16325,202.1,104.3,0
,"Amador County, CA",6005,Female,F,2012,2012,White,2106-3,25,16195,154.4,73.2,0
,"Amador County, CA",6005,Female,F,2013,2013,White,2106-3,17,16152,105.3 (Unreliable),49.7 (Unreliable),0
,"Amador County, CA",6005,Female,F,2014,2014,White,2106-3,20,16197,123.5,58.4,0
,"Amador County, CA",6005,Female,F,2015,2015,White,2106-3,25,16271,153.6,75.3,0
,"Amador County, CA",6005,Female,F,2016,2016,White,2106-3,19,16396,115.9 (Unreliable),54.2 (Unreliable),0
,"Amador County, CA",6005,Male,M,2006,2006,White,2106-3,25,18944,132.0,102.9,0
,"Amador County, CA",6005,Male,M,2007,2007,White,2106-3,17,19214,88.5 (Unreliable),65.4 (Unreliable),0
,"Amador County, CA",6005,Male,M,2008,2008,White,2106-3,27,18860,143.2,105.3,0
,"Amador County, CA",6005,Male,M,2009,2009,White,2106-3,11,18858,58.3 (Unreliable),43.6 (Unreliable),0
,"Amador County, CA",6005,Male,M,2010,2010,White,2106-3,22,18806,117.0,79.0,0
,"Amador County, CA",6005,Male,M,2011,2011,White,2106-3,27,18403,146.7,102.5,0
,"Amador County, CA",6005,Male,M,2012,2012,White,2106-3,19,18191,104.4 (Unreliable),66.1 (Unreliable),0
,"Amador County, CA",6005,Male,M,2013,2013,White,2106-3,24,17816,134.7,80.0,0
,"Amador County, CA",6005,Male,M,2014,2014,White,2106-3,26,17853,145.6,82.5,0
,"Amador County, CA",6005,Male,M,2015,2015,White,2106-3,31,17972,172.5,98.0,0
,"Amador County, CA",6005,Male,M,2016,2016,White,2106-3,21,18090,116.1,67.2,0
,"Butte County, CA",6007,Female,F,2006,2006,White,2106-3,118,99771,118.3,73.2,0
,"Butte County, CA",6007,Female,F,2007,2007,White,2106-3,121,99802,121.2,78.5,0
,"Butte County, CA",6007,Female,F,2008,2008,White,2106-3,147,100299,146.6,93.3,0.001
,"Butte County, CA",6007,Female,F,2009,2009,White,2106-3,146,100234,145.7,93.4,0.001
,"Butte County, CA",6007,Female,F,2010,2010,White,2106-3,133,100141,132.8,82.7,0.001
,"Butte County, CA",6007,Female,F,2011,2011,White,2106-3,139,99653,139.5,84.3,0.001
,"Butte County, CA",6007,Female,F,2012,2012,White,2106-3,143,100226,142.7,83.6,0.001
,"Butte County, CA",6007,Female,F,2013,2013,White,2106-3,120,100573,119.3,68.7,0
,"Butte County, CA",6007,Female,F,2014,2014,White,2106-3,113,101283,111.6,69.2,0
,"Butte County, CA",6007,Female,F,2015,2015,White,2106-3,137,101633,134.8,78.7,0.001
,"Butte County, CA",6007,Female,F,2016,2016,White,2106-3,118,102133,115.5,67.7,0
,"Butte County, CA",6007,Male,M,2006,2006,White,2106-3,148,97029,152.5,134.6,0.001
,"Butte County, CA",6007,Male,M,2007,2007,White,2106-3,118,96904,121.8,107.6,0
,"Butte County, CA",6007,Male,M,2008,2008,White,2106-3,119,97446,122.1,106.9,0
,"Butte County, CA",6007,Male,M,2009,2009,White,2106-3,116,97617,118.8,103.7,0
,"Butte County, CA",6007,Male,M,2010,2010,White,2106-3,111,97515,113.8,98.1,0
,"Butte County, CA",6007,Male,M,2011,2011,White,2106-3,116,97204,119.3,99.9,0
,"Butte County, CA",6007,Male,M,2012,2012,White,2106-3,124,97603,127.0,107.0,0
,"Butte County, CA",6007,Male,M,2013,2013,White,2106-3,142,97832,145.1,116.6,0.001
,"Butte County, CA",6007,Male,M,2014,2014,White,2106-3,130,98441,132.1,105.1,0.001
,"Butte County, CA",6007,Male,M,2015,2015,White,2106-3,103,98786,104.3,83.4,0
,"Butte County, CA",6007,Male,M,2016,2016,White,2106-3,99,99305,99.7,76.2,0
,"Calaveras County, CA",6009,Female,F,2006,2006,White,2106-3,24,21878,109.7,70.3,0
,"Calaveras County, CA",6009,Female,F,2007,2007,White,2106-3,22,22061,99.7,61.7,0
,"Calaveras County, CA",6009,Female,F,2008,2008,White,2106-3,31,21963,141.1,84.0,0
,"Calaveras County, CA",6009,Female,F,2009,2009,White,2106-3,22,21688,101.4,59.8,0
,"Calaveras County, CA",6009,Female,F,2010,2010,White,2106-3,22,21577,102.0,65.7,0
,"Calaveras County, CA",6009,Female,F,2011,2011,White,2106-3,19,21305,89.2 (Unreliable),54.7 (Unreliable),0
,"Calaveras County, CA",6009,Female,F,2012,2012,White,2106-3,25,21108,118.4,68.2,0
,"Calaveras County, CA",6009,Female,F,2013,2013,White,2106-3,26,21050,123.5,76.0,0
,"Calaveras County, CA",6009,Female,F,2014,2014,White,2106-3,20,20993,95.3,53.8,0
,"Calaveras County, CA",6009,Female,F,2015,2015,White,2106-3,17,21078,80.7 (Unreliable),41.1 (Unreliable),0
,"Calaveras County, CA",6009,Female,F,2016,2016,White,2106-3,35,21180,165.3,85.9,0
,"Calaveras County, CA",6009,Male,M,2006,2006,White,2106-3,25,21850,114.4,97.8,0
,"Calaveras County, CA",6009,Male,M,2007,2007,White,2106-3,21,21901,95.9,74.7,0
,"Calaveras County, CA",6009,Male,M,2008,2008,White,2106-3,29,21933,132.2,110.8,0
,"Calaveras County, CA",6009,Male,M,2009,2009,White,2106-3,24,21765,110.3,70.8,0
,"Calaveras County, CA",6009,Male,M,2010,2010,White,2106-3,25,21579,115.9,81.7,0
,"Calaveras County, CA",6009,Male,M,2011,2011,White,2106-3,19,21282,89.3 (Unreliable),62.4 (Unreliable),0
,"Calaveras County, CA",6009,Male,M,2012,2012,White,2106-3,21,21082,99.6,63.3,0
,"Calaveras County, CA",6009,Male,M,2013,2013,White,2106-3,24,20981,114.4,71.4,0
,"Calaveras County, CA",6009,Male,M,2014,2014,White,2106-3,28,20992,133.4,72.1,0
,"Calaveras County, CA",6009,Male,M,2015,2015,White,2106-3,26,21078,123.4,78.1,0
,"Calaveras County, CA",6009,Male,M,2016,2016,White,2106-3,27,21235,127.1,74.0,0
,"Colusa County, CA",6011,Female,F,2010,2010,White,2106-3,15,9691,154.8 (Unreliable),131.9 (Unreliable),0
,"Colusa County, CA",6011,Female,F,2011,2011,White,2106-3,10,9638,103.8 (Unreliable),84.7 (Unreliable),0
,"Colusa County, CA",6011,Male,M,2012,2012,White,2106-3,11,10194,107.9 (Unreliable),130.7 (Unreliable),0
,"Colusa County, CA",6011,Male,M,2015,2015,White,2106-3,12,10102,118.8 (Unreliable),136.6 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2006,2006,Asian or Pacific Islander,A-PI,20,80773,24.8,33.0,0
,"Contra Costa County, CA",6013,Female,F,2006,2006,Black or African American,2054-5,30,55761,53.8,67.7,0
,"Contra Costa County, CA",6013,Female,F,2006,2006,White,2106-3,353,370516,95.3,71.6,0.001
,"Contra Costa County, CA",6013,Female,F,2007,2007,Asian or Pacific Islander,A-PI,13,83448,15.6 (Unreliable),19.6 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2007,2007,Black or African American,2054-5,29,56540,51.3,62.6,0
,"Contra Costa County, CA",6013,Female,F,2007,2007,White,2106-3,348,371206,93.7,69.0,0.001
,"Contra Costa County, CA",6013,Female,F,2008,2008,Asian or Pacific Islander,A-PI,18,86880,20.7 (Unreliable),26.1 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2008,2008,Black or African American,2054-5,28,57722,48.5,68.3,0
,"Contra Costa County, CA",6013,Female,F,2008,2008,White,2106-3,338,373607,90.5,66.4,0.001
,"Contra Costa County, CA",6013,Female,F,2009,2009,Asian or Pacific Islander,A-PI,17,90276,18.8 (Unreliable),23.8 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2009,2009,Black or African American,2054-5,30,59000,50.8,62.0,0
,"Contra Costa County, CA",6013,Female,F,2009,2009,White,2106-3,345,376140,91.7,67.9,0.001
,"Contra Costa County, CA",6013,Female,F,2010,2010,Asian or Pacific Islander,A-PI,22,93030,23.6,29.5,0
,"Contra Costa County, CA",6013,Female,F,2010,2010,Black or African American,2054-5,26,59975,43.4,53.1,0
,"Contra Costa County, CA",6013,Female,F,2010,2010,White,2106-3,321,377905,84.9,60.5,0.001
,"Contra Costa County, CA",6013,Female,F,2011,2011,Asian or Pacific Islander,A-PI,11,97264,11.3 (Unreliable),14.2 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2011,2011,Black or African American,2054-5,39,60751,64.2,70.6,0
,"Contra Costa County, CA",6013,Female,F,2011,2011,White,2106-3,302,381832,79.1,56.1,0.001
,"Contra Costa County, CA",6013,Female,F,2012,2012,Asian or Pacific Islander,A-PI,29,100302,28.9,31.5,0
,"Contra Costa County, CA",6013,Female,F,2012,2012,Black or African American,2054-5,30,60966,49.2,57.5,0
,"Contra Costa County, CA",6013,Female,F,2012,2012,White,2106-3,326,384624,84.8,59.1,0.001
,"Contra Costa County, CA",6013,Female,F,2013,2013,Asian or Pacific Islander,A-PI,23,103672,22.2,23.9,0
,"Contra Costa County, CA",6013,Female,F,2013,2013,Black or African American,2054-5,37,61760,59.9,65.7,0
,"Contra Costa County, CA",6013,Female,F,2013,2013,White,2106-3,313,388356,80.6,55.6,0.001
,"Contra Costa County, CA",6013,Female,F,2014,2014,Asian or Pacific Islander,A-PI,19,107309,17.7 (Unreliable),17.8 (Unreliable),0
,"Contra Costa County, CA",6013,Female,F,2014,2014,Black or African American,2054-5,30,62405,48.1,50.2,0
,"Contra Costa County, CA",6013,Female,F,2014,2014,White,2106-3,316,391328,80.8,54.5,0.001
,"Contra Costa County, CA",6013,Female,F,2015,2015,Asian or Pacific Islander,A-PI,28,110908,25.2,24.0,0
,"Contra Costa County, CA",6013,Female,F,2015,2015,Black or African American,2054-5,40,63321,63.2,62.9,0
,"Contra Costa County, CA",6013,Female,F,2015,2015,White,2106-3,352,393680,89.4,60.5,0.001
,"Contra Costa County, CA",6013,Female,F,2016,2016,Asian or Pacific Islander,A-PI,21,115026,18.3,17.2,0
,"Contra Costa County, CA",6013,Female,F,2016,2016,Black or African American,2054-5,43,63892,67.3,68.4,0
,"Contra Costa County, CA",6013,Female,F,2016,2016,White,2106-3,320,394574,81.1,52.8,0.001
,"Contra Costa County, CA",6013,Male,M,2006,2006,Asian or Pacific Islander,A-PI,22,72524,30.3,56.9,0
,"Contra Costa County, CA",6013,Male,M,2006,2006,Black or African American,2054-5,23,48581,47.3,80.9,0
,"Contra Costa County, CA",6013,Male,M,2006,2006,White,2106-3,282,361925,77.9,87.6,0.001
,"Contra Costa County, CA",6013,Male,M,2007,2007,Asian or Pacific Islander,A-PI,30,74826,40.1,71.4,0
,"Contra Costa County, CA",6013,Male,M,2007,2007,Black or African American,2054-5,23,49321,46.6,93.8,0
,"Contra Costa County, CA",6013,Male,M,2007,2007,White,2106-3,264,362550,72.8,79.6,0.001
,"Contra Costa County, CA",6013,Male,M,2008,2008,Asian or Pacific Islander,A-PI,27,78076,34.6,64.6,0
,"Contra Costa County, CA",6013,Male,M,2008,2008,Black or African American,2054-5,31,50521,61.4,108.6,0
,"Contra Costa County, CA",6013,Male,M,2008,2008,White,2106-3,291,364754,79.8,86.2,0.001
,"Contra Costa County, CA",6013,Male,M,2009,2009,Asian or Pacific Islander,A-PI,30,81010,37.0,65.0,0
,"Contra Costa County, CA",6013,Male,M,2009,2009,Black or African American,2054-5,23,51478,44.7,79.2,0
,"Contra Costa County, CA",6013,Male,M,2009,2009,White,2106-3,275,367438,74.8,78.2,0.001
,"Contra Costa County, CA",6013,Male,M,2010,2010,Asian or Pacific Islander,A-PI,23,83545,27.5,46.4,0
,"Contra Costa County, CA",6013,Male,M,2010,2010,Black or African American,2054-5,21,52370,40.1,59.9,0
,"Contra Costa County, CA",6013,Male,M,2010,2010,White,2106-3,262,369049,71.0,74.5,0.001
,"Contra Costa County, CA",6013,Male,M,2011,2011,Asian or Pacific Islander,A-PI,21,87226,24.1,38.2,0
,"Contra Costa County, CA",6013,Male,M,2011,2011,Black or African American,2054-5,35,53264,65.7,93.2,0
,"Contra Costa County, CA",6013,Male,M,2011,2011,White,2106-3,266,372688,71.4,73.5,0.001
,"Contra Costa County, CA",6013,Male,M,2012,2012,Asian or Pacific Islander,A-PI,30,89906,33.4,48.2,0
,"Contra Costa County, CA",6013,Male,M,2012,2012,Black or African American,2054-5,27,53658,50.3,79.3,0
,"Contra Costa County, CA",6013,Male,M,2012,2012,White,2106-3,249,375428,66.3,66.6,0.001
,"Contra Costa County, CA",6013,Male,M,2013,2013,Asian or Pacific Islander,A-PI,30,92825,32.3,45.2,0
,"Contra Costa County, CA",6013,Male,M,2013,2013,Black or African American,2054-5,27,54660,49.4,72.1,0
,"Contra Costa County, CA",6013,Male,M,2013,2013,White,2106-3,291,379156,76.7,75.2,0.001
,"Contra Costa County, CA",6013,Male,M,2014,2014,Asian or Pacific Islander,A-PI,35,96168,36.4,52.4,0
,"Contra Costa County, CA",6013,Male,M,2014,2014,Black or African American,2054-5,27,55446,48.7,76.9,0
,"Contra Costa County, CA",6013,Male,M,2014,2014,White,2106-3,264,382473,69.0,67.0,0.001
,"Contra Costa County, CA",6013,Male,M,2015,2015,Asian or Pacific Islander,A-PI,32,99573,32.1,40.2,0
,"Contra Costa County, CA",6013,Male,M,2015,2015,Black or African American,2054-5,31,56272,55.1,71.5,0
,"Contra Costa County, CA",6013,Male,M,2015,2015,White,2106-3,306,385214,79.4,75.4,0.001
,"Contra Costa County, CA",6013,Male,M,2016,2016,Asian or Pacific Islander,A-PI,38,103465,36.7,46.7,0
,"Contra Costa County, CA",6013,Male,M,2016,2016,Black or African American,2054-5,30,57113,52.5,62.5,0
,"Contra Costa County, CA",6013,Male,M,2016,2016,White,2106-3,259,386643,67.0,62.3,0.001
,"Del Norte County, CA",6015,Female,F,2007,2007,White,2106-3,21,10672,196.8,143.1,0
,"Del Norte County, CA",6015,Female,F,2008,2008,White,2106-3,13,10697,121.5 (Unreliable),90.2 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2009,2009,White,2106-3,16,10657,150.1 (Unreliable),104.3 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2010,2010,White,2106-3,18,10653,169.0 (Unreliable),108.7 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2011,2011,White,2106-3,18,10553,170.6 (Unreliable),105.6 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2012,2012,White,2106-3,16,10449,153.1 (Unreliable),104.7 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2013,2013,White,2106-3,11,10293,106.9 (Unreliable),79.1 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2014,2014,White,2106-3,19,10232,185.7 (Unreliable),113.2 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2015,2015,White,2106-3,16,10221,156.5 (Unreliable),93.9 (Unreliable),0
,"Del Norte County, CA",6015,Female,F,2016,2016,White,2106-3,13,10416,124.8 (Unreliable),76.0 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2006,2006,White,2106-3,15,12864,116.6 (Unreliable),132.6 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2007,2007,White,2106-3,17,12921,131.6 (Unreliable),142.9 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2008,2008,White,2106-3,13,12947,100.4 (Unreliable),102.0 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2009,2009,White,2106-3,12,12875,93.2 (Unreliable),101.6 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2010,2010,White,2106-3,11,12809,85.9 (Unreliable),71.5 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2011,2011,White,2106-3,14,12678,110.4 (Unreliable),113.1 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2012,2012,White,2106-3,11,12499,88.0 (Unreliable),88.1 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2013,2013,White,2106-3,15,12279,122.2 (Unreliable),120.3 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2014,2014,White,2106-3,15,11912,125.9 (Unreliable),129.6 (Unreliable),0
,"Del Norte County, CA",6015,Male,M,2015,2015,White,2106-3,23,11932,192.8,175.0,0
,"Del Norte County, CA",6015,Male,M,2016,2016,White,2106-3,25,12017,208.0,163.0,0
,"El Dorado County, CA",6017,Female,F,2006,2006,White,2106-3,83,82539,100.6,85.2,0
,"El Dorado County, CA",6017,Female,F,2007,2007,White,2106-3,55,82763,66.5,54.6,0
,"El Dorado County, CA",6017,Female,F,2008,2008,White,2106-3,64,83260,76.9,62.8,0
,"El Dorado County, CA",6017,Female,F,2009,2009,White,2106-3,75,83621,89.7,69.5,0
,"El Dorado County, CA",6017,Female,F,2010,2010,White,2106-3,68,83636,81.3,63.0,0
,"El Dorado County, CA",6017,Female,F,2011,2011,White,2106-3,72,83400,86.3,63.1,0
,"El Dorado County, CA",6017,Female,F,2012,2012,White,2106-3,78,83228,93.7,64.7,0
,"El Dorado County, CA",6017,Female,F,2013,2013,White,2106-3,80,83447,95.9,66.2,0
,"El Dorado County, CA",6017,Female,F,2014,2014,White,2106-3,61,83938,72.7,49.0,0
,"El Dorado County, CA",6017,Female,F,2015,2015,White,2106-3,71,84430,84.1,56.2,0
,"El Dorado County, CA",6017,Female,F,2016,2016,White,2106-3,71,84798,83.7,52.3,0
,"El Dorado County, CA",6017,Male,M,2006,2006,White,2106-3,51,82647,61.7,65.6,0
,"El Dorado County, CA",6017,Male,M,2007,2007,White,2106-3,73,82834,88.1,91.7,0
,"El Dorado County, CA",6017,Male,M,2008,2008,White,2106-3,62,83385,74.4,76.4,0
,"El Dorado County, CA",6017,Male,M,2009,2009,White,2106-3,62,83894,73.9,77.3,0
,"El Dorado County, CA",6017,Male,M,2010,2010,White,2106-3,63,84190,74.8,70.9,0
,"El Dorado County, CA",6017,Male,M,2011,2011,White,2106-3,63,83798,75.2,66.9,0
,"El Dorado County, CA",6017,Male,M,2012,2012,White,2106-3,68,83434,81.5,70.0,0
,"El Dorado County, CA",6017,Male,M,2013,2013,White,2106-3,70,83717,83.6,68.8,0
,"El Dorado County, CA",6017,Male,M,2014,2014,White,2106-3,76,84253,90.2,73.9,0
,"El Dorado County, CA",6017,Male,M,2015,2015,White,2106-3,98,84597,115.8,93.5,0
,"El Dorado County, CA",6017,Male,M,2016,2016,White,2106-3,73,84873,86.0,67.2,0
,"Fresno County, CA",6019,Female,F,2006,2006,Asian or Pacific Islander,A-PI,10,45858,21.8 (Unreliable),28.8 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2006,2006,Black or African American,2054-5,12,27847,43.1 (Unreliable),63.0 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2006,2006,White,2106-3,295,355993,82.9,79.9,0.001
,"Fresno County, CA",6019,Female,F,2007,2007,Asian or Pacific Islander,A-PI,28,47356,59.1,78.3,0
,"Fresno County, CA",6019,Female,F,2007,2007,Black or African American,2054-5,16,28341,56.5 (Unreliable),84.0 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2007,2007,White,2106-3,272,359295,75.7,73.6,0.001
,"Fresno County, CA",6019,Female,F,2008,2008,Asian or Pacific Islander,A-PI,16,48991,32.7 (Unreliable),40.5 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2008,2008,Black or African American,2054-5,12,29177,41.1 (Unreliable),60.6 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2008,2008,White,2106-3,313,362789,86.3,80.8,0.001
,"Fresno County, CA",6019,Female,F,2009,2009,Asian or Pacific Islander,A-PI,20,50331,39.7,49.8,0
,"Fresno County, CA",6019,Female,F,2009,2009,Black or African American,2054-5,18,29701,60.6 (Unreliable),86.2 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2009,2009,White,2106-3,276,366115,75.4,71.2,0.001
,"Fresno County, CA",6019,Female,F,2010,2010,Asian or Pacific Islander,A-PI,15,51497,29.1 (Unreliable),36.2 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2010,2010,Black or African American,2054-5,14,30177,46.4 (Unreliable),67.4 (Unreliable),0
,"Fresno County, CA",6019,Female,F,2010,2010,White,2106-3,285,368224,77.4,72.3,0.001
,"Fresno County, CA",6019,Female,F,2011,2011,Asian or Pacific Islander,A-PI,22,52570,41.8,48.9,0
