,Unnamed: 0,Year,ICD-10 113 Cause List,ICD-10 113 Cause List Code,County,County Code,Race,Race Code,Gender,Gender Code,Deaths,Population,Crude Rate
21,37,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,25.0,271729.0,9.2
22,38,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,32.0,251976.0,12.7
23,39,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,White,2106-3,Female,F,291.0,1160873.0,25.1
24,40,2006,Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,White,2106-3,Male,M,243.0,1150444.0,21.1
25,43,2006,Influenza and pneumonia (J09-J18),GR113-076,Riverside,6065.0,White,2106-3,Female,F,150.0,847672.0,17.7
26,44,2006,Influenza and pneumonia (J09-J18),GR113-076,Riverside,6065.0,White,2106-3,Male,M,132.0,850224.0,15.5
27,45,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,12.0,112879.0,Unreliable
28,46,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Black or African American,2054-5,Female,F,11.0,83794.0,Unreliable
29,47,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Black or African American,2054-5,Male,M,10.0,80061.0,Unreliable
30,48,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,White,2106-3,Female,F,158.0,489538.0,32.3
31,49,2006,Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,White,2106-3,Male,M,134.0,473849.0,28.3
32,50,2006,Influenza and pneumonia (J09-J18),GR113-076,San Bernardino,6071.0,Black or African American,2054-5,Female,F,11.0,104057.0,Unreliable
33,51,2006,Influenza and pneumonia (J09-J18),GR113-076,San Bernardino,6071.0,White,2106-3,Female,F,136.0,793322.0,17.1
34,52,2006,Influenza and pneumonia (J09-J18),GR113-076,San Bernardino,6071.0,White,2106-3,Male,M,136.0,798894.0,17
35,53,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,Asian or Pacific Islander,A-PI,Female,F,13.0,185921.0,Unreliable
36,54,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,Asian or Pacific Islander,A-PI,Male,M,17.0,166893.0,Unreliable
37,55,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,White,2106-3,Female,F,171.0,1174569.0,14.6
38,56,2006,Influenza and pneumonia (J09-J18),GR113-076,San Diego,6073.0,White,2106-3,Male,M,181.0,1195313.0,15.1
39,57,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Female,F,34.0,143899.0,23.6
40,58,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,42.0,127008.0,33.1
41,59,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,Black or African American,2054-5,Female,F,12.0,28589.0,Unreliable
42,60,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,White,2106-3,Female,F,90.0,204034.0,44.1
43,61,2006,Influenza and pneumonia (J09-J18),GR113-076,San Francisco,6075.0,White,2106-3,Male,M,70.0,229277.0,30.5
44,70,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Barbara,6083.0,White,2106-3,Female,F,44.0,181527.0,24.2
45,71,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Barbara,6083.0,White,2106-3,Male,M,33.0,182809.0,18.1
46,72,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Female,F,20.0,277311.0,7.2
47,73,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Male,M,41.0,269919.0,15.2
48,74,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,White,2106-3,Female,F,147.0,525001.0,28
49,75,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Clara,6085.0,White,2106-3,Male,M,121.0,541122.0,22.4
50,76,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Cruz,6087.0,White,2106-3,Female,F,16.0,115162.0,Unreliable
51,77,2006,Influenza and pneumonia (J09-J18),GR113-076,Santa Cruz,6087.0,White,2106-3,Male,M,14.0,114741.0,Unreliable
52,80,2006,Influenza and pneumonia (J09-J18),GR113-076,Solano,6095.0,White,2106-3,Female,F,44.0,129413.0,34
53,81,2006,Influenza and pneumonia (J09-J18),GR113-076,Solano,6095.0,White,2106-3,Male,M,37.0,133551.0,27.7
54,91,2006,Influenza and pneumonia (J09-J18),GR113-076,Ventura,6111.0,White,2106-3,Female,F,62.0,352535.0,17.6
55,92,2006,Influenza and pneumonia (J09-J18),GR113-076,Ventura,6111.0,White,2106-3,Male,M,51.0,351571.0,14.5
56,95,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Asian or Pacific Islander,A-PI,Female,F,15.0,204139.0,Unreliable
57,96,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Asian or Pacific Islander,A-PI,Male,M,13.0,189589.0,Unreliable
58,97,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Black or African American,2054-5,Female,F,30.0,112599.0,26.6
59,98,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,Black or African American,2054-5,Male,M,21.0,98714.0,21.3
60,99,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,White,2106-3,Female,F,73.0,410372.0,17.8
61,100,2006,Pneumonia (J12-J18),GR113-078,Alameda,6001.0,White,2106-3,Male,M,81.0,411279.0,19.7
62,103,2006,Pneumonia (J12-J18),GR113-078,Contra Costa,6013.0,Black or African American,2054-5,Female,F,11.0,55761.0,Unreliable
63,104,2006,Pneumonia (J12-J18),GR113-078,Contra Costa,6013.0,White,2106-3,Female,F,92.0,370516.0,24.8
64,105,2006,Pneumonia (J12-J18),GR113-078,Contra Costa,6013.0,White,2106-3,Male,M,77.0,361925.0,21.3
65,108,2006,Pneumonia (J12-J18),GR113-078,Fresno,6019.0,White,2106-3,Female,F,95.0,355993.0,26.7
66,109,2006,Pneumonia (J12-J18),GR113-078,Fresno,6019.0,White,2106-3,Male,M,68.0,356912.0,19.1
67,110,2006,Pneumonia (J12-J18),GR113-078,Humboldt,6023.0,White,2106-3,Female,F,15.0,58862.0,Unreliable
68,111,2006,Pneumonia (J12-J18),GR113-078,Humboldt,6023.0,White,2106-3,Male,M,12.0,58316.0,Unreliable
69,112,2006,Pneumonia (J12-J18),GR113-078,Kern,6029.0,White,2106-3,Female,F,67.0,326194.0,20.5
70,113,2006,Pneumonia (J12-J18),GR113-078,Kern,6029.0,White,2106-3,Male,M,72.0,346831.0,20.8
71,114,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Female,F,131.0,745149.0,17.6
72,115,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Male,M,150.0,669290.0,22.4
73,116,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Black or African American,2054-5,Female,F,130.0,523263.0,24.8
74,117,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,Black or African American,2054-5,Male,M,119.0,462314.0,25.7
75,118,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,White,2106-3,Female,F,931.0,3596452.0,25.9
76,119,2006,Pneumonia (J12-J18),GR113-078,Los Angeles,6037.0,White,2106-3,Male,M,805.0,3599903.0,22.4
77,132,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,25.0,271729.0,9.2
78,133,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,32.0,251976.0,12.7
79,134,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,White,2106-3,Female,F,289.0,1160873.0,24.9
80,135,2006,Pneumonia (J12-J18),GR113-078,Orange,6059.0,White,2106-3,Male,M,241.0,1150444.0,20.9
81,138,2006,Pneumonia (J12-J18),GR113-078,Riverside,6065.0,White,2106-3,Female,F,150.0,847672.0,17.7
82,139,2006,Pneumonia (J12-J18),GR113-078,Riverside,6065.0,White,2106-3,Male,M,129.0,850224.0,15.2
83,140,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,12.0,112879.0,Unreliable
84,141,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,Black or African American,2054-5,Female,F,10.0,83794.0,Unreliable
85,142,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,Black or African American,2054-5,Male,M,10.0,80061.0,Unreliable
86,143,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,White,2106-3,Female,F,157.0,489538.0,32.1
87,144,2006,Pneumonia (J12-J18),GR113-078,Sacramento,6067.0,White,2106-3,Male,M,133.0,473849.0,28.1
88,145,2006,Pneumonia (J12-J18),GR113-078,San Bernardino,6071.0,Black or African American,2054-5,Female,F,11.0,104057.0,Unreliable
89,146,2006,Pneumonia (J12-J18),GR113-078,San Bernardino,6071.0,White,2106-3,Female,F,135.0,793322.0,17
90,147,2006,Pneumonia (J12-J18),GR113-078,San Bernardino,6071.0,White,2106-3,Male,M,136.0,798894.0,17
91,148,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,Asian or Pacific Islander,A-PI,Female,F,13.0,185921.0,Unreliable
92,149,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,Asian or Pacific Islander,A-PI,Male,M,17.0,166893.0,Unreliable
93,150,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,White,2106-3,Female,F,166.0,1174569.0,14.1
94,151,2006,Pneumonia (J12-J18),GR113-078,San Diego,6073.0,White,2106-3,Male,M,178.0,1195313.0,14.9
95,152,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Female,F,34.0,143899.0,23.6
96,153,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,42.0,127008.0,33.1
97,154,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,Black or African American,2054-5,Female,F,12.0,28589.0,Unreliable
98,155,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,White,2106-3,Female,F,89.0,204034.0,43.6
99,156,2006,Pneumonia (J12-J18),GR113-078,San Francisco,6075.0,White,2106-3,Male,M,70.0,229277.0,30.5
100,165,2006,Pneumonia (J12-J18),GR113-078,Santa Barbara,6083.0,White,2106-3,Female,F,43.0,181527.0,23.7
101,166,2006,Pneumonia (J12-J18),GR113-078,Santa Barbara,6083.0,White,2106-3,Male,M,33.0,182809.0,18.1
102,167,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Female,F,20.0,277311.0,7.2
103,168,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Male,M,41.0,269919.0,15.2
104,169,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,White,2106-3,Female,F,146.0,525001.0,27.8
105,170,2006,Pneumonia (J12-J18),GR113-078,Santa Clara,6085.0,White,2106-3,Male,M,121.0,541122.0,22.4
106,171,2006,Pneumonia (J12-J18),GR113-078,Santa Cruz,6087.0,White,2106-3,Female,F,16.0,115162.0,Unreliable
107,172,2006,Pneumonia (J12-J18),GR113-078,Santa Cruz,6087.0,White,2106-3,Male,M,14.0,114741.0,Unreliable
108,175,2006,Pneumonia (J12-J18),GR113-078,Solano,6095.0,White,2106-3,Female,F,44.0,129413.0,34
109,176,2006,Pneumonia (J12-J18),GR113-078,Solano,6095.0,White,2106-3,Male,M,37.0,133551.0,27.7
110,186,2006,Pneumonia (J12-J18),GR113-078,Ventura,6111.0,White,2106-3,Female,F,62.0,352535.0,17.6
111,187,2006,Pneumonia (J12-J18),GR113-078,Ventura,6111.0,White,2106-3,Male,M,50.0,351571.0,14.2
112,190,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Asian or Pacific Islander,A-PI,Female,F,14.0,204139.0,Unreliable
113,191,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Asian or Pacific Islander,A-PI,Male,M,21.0,189589.0,11.1
114,192,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Black or African American,2054-5,Female,F,26.0,112599.0,23.1
115,193,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,Black or African American,2054-5,Male,M,32.0,98714.0,32.4
116,194,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,White,2106-3,Female,F,197.0,410372.0,48
117,195,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Alameda,6001.0,White,2106-3,Male,M,132.0,411279.0,32.1
118,202,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Asian or Pacific Islander,A-PI,Female,F,10.0,80773.0,Unreliable
119,203,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Asian or Pacific Islander,A-PI,Male,M,10.0,72524.0,Unreliable
120,204,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Black or African American,2054-5,Female,F,11.0,55761.0,Unreliable
121,205,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,Black or African American,2054-5,Male,M,15.0,48581.0,Unreliable
122,206,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,White,2106-3,Female,F,195.0,370516.0,52.6
123,207,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Contra Costa,6013.0,White,2106-3,Male,M,145.0,361925.0,40.1
124,211,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Fresno,6019.0,Asian or Pacific Islander,A-PI,Male,M,12.0,44769.0,Unreliable
125,212,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Fresno,6019.0,White,2106-3,Female,F,152.0,355993.0,42.7
126,213,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Fresno,6019.0,White,2106-3,Male,M,112.0,356912.0,31.4
127,215,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Humboldt,6023.0,White,2106-3,Female,F,38.0,58862.0,64.6
128,216,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Humboldt,6023.0,White,2106-3,Male,M,33.0,58316.0,56.6
129,217,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Imperial,6025.0,White,2106-3,Female,F,15.0,71140.0,Unreliable
130,218,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Imperial,6025.0,White,2106-3,Male,M,27.0,74137.0,36.4
131,219,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Kern,6029.0,White,2106-3,Female,F,190.0,326194.0,58.2
132,220,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Kern,6029.0,White,2106-3,Male,M,157.0,346831.0,45.3
133,225,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Female,F,81.0,745149.0,10.9
134,226,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Male,M,154.0,669290.0,23
135,227,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Black or African American,2054-5,Female,F,185.0,523263.0,35.4
136,228,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,Black or African American,2054-5,Male,M,182.0,462314.0,39.4
137,229,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,White,2106-3,Female,F,1234.0,3596452.0,34.3
138,230,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Los Angeles,6037.0,White,2106-3,Male,M,999.0,3599903.0,27.8
139,245,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,22.0,271729.0,8.1
140,246,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,31.0,251976.0,12.3
141,247,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,White,2106-3,Female,F,477.0,1160873.0,41.1
142,248,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Orange,6059.0,White,2106-3,Male,M,307.0,1150444.0,26.7
143,251,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,Black or African American,2054-5,Female,F,13.0,72553.0,Unreliable
144,252,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,Black or African American,2054-5,Male,M,17.0,73437.0,Unreliable
145,253,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,White,2106-3,Female,F,425.0,847672.0,50.1
146,254,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Riverside,6065.0,White,2106-3,Male,M,411.0,850224.0,48.3
147,255,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,11.0,112879.0,Unreliable
148,256,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Male,M,18.0,105618.0,Unreliable
149,257,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Black or African American,2054-5,Female,F,16.0,83794.0,Unreliable
150,258,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,Black or African American,2054-5,Male,M,18.0,80061.0,Unreliable
151,259,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,White,2106-3,Female,F,273.0,489538.0,55.8
152,260,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Sacramento,6067.0,White,2106-3,Male,M,259.0,473849.0,54.7
153,262,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,Asian or Pacific Islander,A-PI,Male,M,10.0,66574.0,Unreliable
154,263,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,Black or African American,2054-5,Female,F,19.0,104057.0,Unreliable
155,264,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,Black or African American,2054-5,Male,M,22.0,99402.0,22.1
156,265,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,White,2106-3,Female,F,418.0,793322.0,52.7
157,266,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Bernardino,6071.0,White,2106-3,Male,M,363.0,798894.0,45.4
158,267,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Asian or Pacific Islander,A-PI,Female,F,18.0,185921.0,Unreliable
159,268,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Asian or Pacific Islander,A-PI,Male,M,34.0,166893.0,20.4
160,269,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Black or African American,2054-5,Female,F,17.0,87594.0,Unreliable
161,270,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,Black or African American,2054-5,Male,M,14.0,96095.0,Unreliable
162,271,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,White,2106-3,Female,F,539.0,1174569.0,45.9
163,272,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Diego,6073.0,White,2106-3,Male,M,418.0,1195313.0,35
164,273,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Female,F,25.0,143899.0,17.4
165,274,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,Asian or Pacific Islander,A-PI,Male,M,48.0,127008.0,37.8
166,275,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,Black or African American,2054-5,Male,M,16.0,28980.0,Unreliable
167,276,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,White,2106-3,Female,F,66.0,204034.0,32.3
168,277,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,San Francisco,6075.0,White,2106-3,Male,M,83.0,229277.0,36.2
169,286,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Barbara,6083.0,White,2106-3,Female,F,60.0,181527.0,33.1
170,287,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Barbara,6083.0,White,2106-3,Male,M,57.0,182809.0,31.2
171,288,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Female,F,17.0,277311.0,Unreliable
172,289,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,Asian or Pacific Islander,A-PI,Male,M,31.0,269919.0,11.5
173,290,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,White,2106-3,Female,F,203.0,525001.0,38.7
174,291,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Clara,6085.0,White,2106-3,Male,M,139.0,541122.0,25.7
175,292,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Cruz,6087.0,White,2106-3,Female,F,60.0,115162.0,52.1
176,293,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Santa Cruz,6087.0,White,2106-3,Male,M,41.0,114741.0,35.7
177,298,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Solano,6095.0,White,2106-3,Female,F,83.0,129413.0,64.1
178,299,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Solano,6095.0,White,2106-3,Male,M,60.0,133551.0,44.9
179,312,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Ventura,6111.0,White,2106-3,Female,F,149.0,352535.0,42.3
180,313,2006,Chronic lower respiratory diseases (J40-J47),GR113-082,Ventura,6111.0,White,2106-3,Male,M,111.0,351571.0,31.6
181,318,2006,"Bronchitis, chronic and unspecified (J40-J42)",GR113-083,Los Angeles,6037.0,White,2106-3,Female,F,18.0,3596452.0,Unreliable
182,319,2006,Emphysema (J43),GR113-084,Alameda,6001.0,White,2106-3,Female,F,28.0,410372.0,6.8
183,320,2006,Emphysema (J43),GR113-084,Alameda,6001.0,White,2106-3,Male,M,23.0,411279.0,5.6
184,321,2006,Emphysema (J43),GR113-084,Contra Costa,6013.0,White,2106-3,Female,F,20.0,370516.0,5.4
185,322,2006,Emphysema (J43),GR113-084,Contra Costa,6013.0,White,2106-3,Male,M,21.0,361925.0,5.8
186,323,2006,Emphysema (J43),GR113-084,Kern,6029.0,White,2106-3,Female,F,15.0,326194.0,Unreliable
187,324,2006,Emphysema (J43),GR113-084,Kern,6029.0,White,2106-3,Male,M,12.0,346831.0,Unreliable
188,325,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,Black or African American,2054-5,Female,F,13.0,523263.0,Unreliable
189,326,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,Black or African American,2054-5,Male,M,23.0,462314.0,5
190,327,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,White,2106-3,Female,F,145.0,3596452.0,4
191,328,2006,Emphysema (J43),GR113-084,Los Angeles,6037.0,White,2106-3,Male,M,98.0,3599903.0,2.7
192,331,2006,Emphysema (J43),GR113-084,Orange,6059.0,White,2106-3,Female,F,50.0,1160873.0,4.3
193,332,2006,Emphysema (J43),GR113-084,Orange,6059.0,White,2106-3,Male,M,34.0,1150444.0,3
194,333,2006,Emphysema (J43),GR113-084,Riverside,6065.0,White,2106-3,Female,F,24.0,847672.0,2.8
195,334,2006,Emphysema (J43),GR113-084,Riverside,6065.0,White,2106-3,Male,M,18.0,850224.0,Unreliable
196,335,2006,Emphysema (J43),GR113-084,Sacramento,6067.0,White,2106-3,Female,F,25.0,489538.0,5.1
197,336,2006,Emphysema (J43),GR113-084,Sacramento,6067.0,White,2106-3,Male,M,22.0,473849.0,4.6
198,337,2006,Emphysema (J43),GR113-084,San Bernardino,6071.0,White,2106-3,Female,F,33.0,793322.0,4.2
199,338,2006,Emphysema (J43),GR113-084,San Bernardino,6071.0,White,2106-3,Male,M,25.0,798894.0,3.1
200,339,2006,Emphysema (J43),GR113-084,San Diego,6073.0,White,2106-3,Female,F,37.0,1174569.0,3.2
201,340,2006,Emphysema (J43),GR113-084,San Diego,6073.0,White,2106-3,Male,M,34.0,1195313.0,2.8
